   №,ПРОДУКТ / УСЛУГА ,ОПЕРАЦИЯ,ДБО,ОС,ВЕРСИЯ,ВОПРОС,Видео-инструкция,Инструкция в FAQ,"Инструкция 
на сайте",1,2,3,4,5,6,7,8,9,10,11,12
1328,Моя семья,Удаление участников,ИБ,,,Как самостоятельно удалиться из семьи другого участника,,,,Перейдите на вкладку «Моя семья» и нажмите на «Я» в разделе «Моя семья».,Выберите «Покинуть семью».,"Подтвердите, что хотите покинуть семью ― нажмите «Да».","Ваша заявка на удаление принята. Нажмите «Понятно», чтобы вернуться на экран создания семьи.",,,,,,,,
1329,Моя семья,Добавление участников,ИБ,,,Как принять приглашение в семью,,,,Перейдите на вкладку «Моя семья» и найдите нужное приглашение в разделе «Приглашения».,"Нажмите «Принять приглашение», если хотите вступить в семью. В противном случае выберите «Отклонить приглашение».

Примечение: если вы присоединитесь к семье, то не сможете получать пришлашения от других клиентов.","Подтвердите, что хотите принять приглашение ― нажмите «Да».",,,,,,,,,
1330,Моя семья,Удаление семьи,ИБ,,,Как удалить семью (первый способ),,,,Перейдите на вкладку «Моя семья» и нажмите на «Я» в разделе «Моя семья».,Выберите «Удалить семью».,"Подтвердите, что хотите удалить семью ― нажмите «Да».","Ваша заявка на удаление принята. Нажмите «Понятно», чтобы вернуться на экран создания семьи.",,,,,,,,
1331,Моя семья,Отправка бонусных рублей,ИБ,,,Как отправить бонусные рубли другому участнику (первый способ),,,,Перейдите на вкладку «Моя семья» и нажмите «Обмен бонусами» в разделе «Возможности» слева.,"Выберите участника, которому хотите отправить бонусные рубли, и нажмите «Отправить» напротив его имени и фамилии.","Введите количество бонусных рублей, которое хотите отправить, и нажмите «Отправить».",Подтвердите отправку бонусных рублей ― введите SMS-код.,Готово. Бонусные рубли поступят на бонусный счет другого участника.,,,,,,,
1332,Моя семья,Отправка бонусных рублей,ИБ,,,Как отправить бонусные рубли другому участнику (второй способ),,,,Перейдите на вкладку «Моя семья» и нажмите на нужного человека в разделе «Моя семья».,Выберите «Отправить бонусы».,"Введите количество бонусных рублей, которое хотите отправить, и нажмите «Отправить».",Подтвердите отправку бонусных рублей ― введите SMS-код.,Готово. Бонусные рубли поступят на бонусный счет другого участника.,,,,,,,
1333,Моя семья,Запрос бонусных рублей,ИБ,,,Как запросить бонусные рубли у другого участника (первый способ),,,,Перейдите на вкладку «Моя семья» и нажмите «Обмен бонусами» в разделе «Возможности» слева.,"Выберите участника, которому хотите отправить бонусные рубли, и нажмите «Запросить» напротив его имени и фамилии.","Введите количество бонусных рублей, которое хотите запросить, и нажмите «Запросить».",Подтвердите запрос бонусных рублей ― введите SMS-код.,"Запрос отправлен. Бонусные рубли поступят на ваш счет, когда его одобрит другой участник семьи.","Нажмите «Готово», чтобы вернуться на экран семьи.",,,,,,
1334,Моя семья,Запрос бонусных рублей,ИБ,,,Как запросить бонусные рубли у другого участника (второй способ),,,,Перейдите на вкладку «Моя семья» и нажмите на нужного человека в разделе «Моя семья».,Выберите «Запросить бонусы».,"Введите количество бонусных рублей, которое хотите запросить, и нажмите «Запросить».",Подтвердите запрос бонусных рублей ― введите SMS-код.,"Запрос отправлен. Бонусные рубли поступят на ваш счет, когда его одобрит другой участник семьи.","Нажмите «Готово», чтобы вернуться на экран семьи.",,,,,,
1335,Моя семья,Запрос бонусных рублей,ИБ,,,Как одобрить запрос бонусных рублей от другого участника,,,,Перейдите на вкладку «Моя семья» и нажмите «Обмен бонусами» в разделе «Возможности» слева.,В нижней части карточки «Обмен бонусами» выберите раздел «Запрос бонусов». ,"Нажмите «Отправить», если хотите отправить бонусные рубли другому участнику. В противном случае нажмите «Отклонить».","Проверьте количество бонусных рублей, которое запросил другой участник, и нажмите «Отправить». 

Примечание: если необходимо, сумму можно отредактировать.",Подтвердите отправку бонусных рублей ― введите SMS-код.,Готово. Бонусные рубли поступят на бонусный счет другого участника.,,,,,,
1336,Моя семья,Просмотр истории обмена бонусами,ИБ,,,Как посмотреть историю обмена бонусами,,,,Перейдите на вкладку «Моя семья» и нажмите «Обмен бонусами» в разделе «Возможности» слева.,"В нижней части карточки «Обмен бонусами» отобразится раздел «История обмена бонусами». В карточке каждого обмена можно посмотреть его дату, сумму, статус и имя другого участника.",,,,,,,,,,
1337,Моя семья,Удаление семьи,ИБ,,,Как удалить семью (второй способ),,,,Перейдите на вкладку «Моя семья» и нажмите «Настройки» в блоке слева.,Нажмите «Удалить семью».,"Подтвердите, что хотите удалить семью ― нажмите «Да».","Ваша заявка на удаление принята. Нажмите «Понятно», чтобы вернуться на экран создания семьи.",,,,,,,,
1338,Инвестиции,Вывод стредств с брокерского счета,ИБ,,,Как вывести средства с брокерского счета,,,,"Вывести средства с брокеского счета можно в приложении «Открытие Брокер». Вывод средств в обычном приложении «Открытия», к сожалению, недоступен.",,,,,,,,,,,
1339,Инвестиции,Вывод стредств с брокерского счета,МБ,Android,,Как вывести средства с брокерского счета,,,,"Вывести средства с брокеского счета можно в приложении «Открытие Брокер». Вывод средств в обычном приложении «Открытия», к сожалению, недоступен.",,,,,,,,,,,
1340,Инвестиции,Вывод стредств с брокерского счета,МБ,iOS,,Как вывести средства с брокерского счета,,,,"Вывести средства с брокеского счета можно в приложении «Открытие Брокер». Вывод средств в обычном приложении «Открытия», к сожалению, недоступен.",,,,,,,,,,,
1341,Закрытые карты,Просмотр информации,ИБ,,,Как посмотреть закрытые карты,,,,"Перейдите на вкладку «Мои продукты» и в разделе «Карты» выберите вкладку «Закрытые».

Примечание: вкладка видна, только если счет карты еще не закрыт. Если это произошло, посмотреть информацию о карте невозможно.","Отобразятся ваши закрытые карты. В карточке конкретной карты можно посмотреть тариф, получить справку или перевыпустить карту.",,,,,,,,,,
1342,Закрытые карты,Справки и выписки,ИБ,,,Как получить выписку по закрытой карте с синей печатью банка и факсимиле,,,,Перейдите на вкладку «История операций». На экране отобразится история операций по картам.,"В фильтре с картами найдите раздел «Архивные продукты» и выберите нужную карту.

Примечание: раздел виден, только если счет карты еще не закрыт. Если это произошло, посмотреть информацию о карте невозможно.","Нажмите на стрелку в конце блока с фильтрами, чтобы его развернуть. Выберите тип операций («Все», «Пополнения» или «Расходы»), период и, если необходимо, категории трат.",Нажмите «Выписка с учетом фильтров» и выберите формат: PDF или Excel,"Если вы выбрали PDF, нажмите «Скачать», чтобы загрузить файл на устройство, или «Отправить на e-mail», чтобы переслать на свою электронную почту. Выписку в формате Excel можно только скачать ― для этого нажмите «Скачать».",,,,,,,
1343,Страхование,Оформление ОСАГО,ИБ,,,Как оформить ОСАГО,,,,Перейдите на вкладку «Страхование» и найдите карточку ОСАГО.,"Изучите условия страхования. Введите номер вашего автомобиля и нажмите «Рассчитать».

Примечание: если вы еще не поставили автомобиль на учет, выберите «Заполню данные автомобиля самостоятельно».","Откроется страница формления ОСАГО. Проверьте предзаполненные данные и укажите недостающие, а затем нажмите «Далее».",Заполните анкету и нажмите «Далее».,Оплатите выбранный полис.,,,,,,,
1344,Приложение,Отключение автоматического удаления приложений,МБ,iOS,,"Как отключить автоматическое удаление приложений, чтобы не потерять доступ к приложению «Открытия»",,,,Перейдите в настройки вашего телефона.,Пролистайте экран вниз и выберите «App Store». Если используете версию iOS 13 или ниже — «iTunes Store и App Store».,"Проверьте, что ползунок напротив пункта «Сгружать неиспользуемые» серый. Если он зеленый, нажмите на ползунок, чтобы отключить автоматическое удаление.",,,,,,,,,
1345,Приложение,Обновление приложения,МБ,Android,,Как установить обновление в приложении,,,,"При входе в приложение появится баннер с предложением установить новую версию ― чтобы сделать это, нажмите «Обновить». Начнется загрузка.

Чтобы обновить приложение позже, нажмите «Не сейчас». Чтобы отказаться от загрузки этого обновления ― «Пропустить обновление».

Примечание: перед обновлением рекомендуем подключиться к интернету через wi-fi ― ваш мобильный оператор может взимать плату за загрузку.","Когда загрузка завершится, нажмите «Настройки», чтобы разрешить установку приложения.

Примечание: если вы уже разрешали установку приложения «Открытия» ранее, пропустите этот шаг.","Откроется раздел с настройками установки. Нажмите на ползунок рядом с приложением «Открытия», чтобы разрешить установку.",Нажмите «Обновить» или «Установить» ― точное название кнопки зависит от модели вашего телефона. Начнется установка приложения.,"Когда установка завершится, нажмите «Открыть», чтобы войти в приложение.",,,,,,,
1346,Страхование,Оформление страховки,МБ,Android,,"Как оформить программу «Защита квартиры»
",,,,На экране «Мои деньги» внизу нажмите «Посмотреть все продукты».,"На витрине найдите карточку страхования и перейдите на нее.
",Нажмите «Защита имущества». ,"В слайдере выберите «Защита квартиры», а затем подходящий тариф и карту для оплаты программы.",Нажмите «Подключить».,Введите SMS-код для подтверждения заявки.,"Деньги за страховку спишутся на следующий день после подключения, а действовать она начнет с первого числа следующего месяца. Оплата будет списываться автоматически каждый месяц. 

Отключить программу можно в любое время. ",,,,,
1347,Страхование,Оформление страховки,МБ,iOS,3.43 и выше,Как оформить программу «Защита квартиры»,,,,На экране «Мои деньги» внизу нажмите «Посмотреть все продукты».,На витрине найдите карточку страхования и перейдите на нее.,Нажмите «Защита имущества».,"В слайдере выберите «Защита квартиры», а затем подходящий тариф и карту для оплаты программы.",Нажмите «Подключить».,Введите SMS-код для подтверждения заявки.,"Деньги за страховку спишутся на следующий день после подключения, а действовать она начнет с первого числа следующего месяца. Оплата будет списываться автоматически каждый месяц. 

Отключить программу можно в любое время. ",,,,,
1348,Платежи и переводы,Пополнение счета или карты со своего счета в другом банке,МБ,iOS,3.43 и выше,Как пополнить счет или карту «Открытия» со своего счета в другом банке,,,,На экране «Мои деньги» выберите нужную карту или счет.,Нажмите «Пополнить карту» и выберите «С моего счета в другом банке». Также кнопку «С моего счета в другом банке» можно найти на экране «Платежи».,"Выберите банк, откуда перевести деньги, и укажите, какой счет пополнить.",Введите сумму и нажмите «Далее».,"Подтвердите операцию в приложении другого банка, если потребуется.",,,,,,,
1349,Платежи и переводы,Пополнение счета или карты со своего счета в другом банке,МБ,iOS,3.43 и выше,Как включить пополнение ваших счетов в других банках со счета в «Открытии»,,,,"Перейдите на экран «Профиль», выберите «Между своими счетами по СБП» и нажмите на соответствующий переключатель.","Выберите счет, откуда будут списываться деньги, а затем банки, куда деньги будут переводиться без подтверждения. После этого нажмите «Сохранить».","Если вы решили перевести деньги в банк, который ранее не отметили, вам придет SMS со ссылкой или push-уведомление с подтверждением операции. Также вам предложат добавить банк в список организаций, для которых не нужно подтверждение.",,,,,,,,,
1350,Приложение,Обновление приложения,МБ,Android,,Как установить приложение из NashStore,,,,Откройте  www.nashstore.ru с телефона и нажмите «Скачать NashStore».,Нажмите «Скачать NashStore» еще раз.,"Откройте скачанный файл и нажмите «Установить».

Примечание: согласитесь на установку из этого источника, если вас попросят.",Откройте NashStore на телефоне. Если вы еще не регистрировались в магазине — сделайте это.,Введите в поиске «Открытие» или «Банк Открытие».,"Откройте страницу приложения и нажмите «Установить». Если приложение уже установлено, его можно обновить.

Примечание: согласитесь на установку из этого источника, если вас попросят.",Нажмите «Установить» еще раз.,,,,,
1351,Приложение,Обновление приложения,МБ,Android,,Как установить приложение из RuStore,,,,Откройте www.rustore.ru с телефона и нажмите «Скачать RuStore».,"Нажмите «Скачать файл», а затем — «Все равно скачать».","Откройте скачанный файл и нажмите «Установить».

Примечание: согласитесь на установку из этого источника, если вас попросят.",Откройте приложение RuStore и выберите «Поиск» в нижней части экрана.,Введите в поиске «Открытие» или «Банк Открытие».,"Откройте страницу приложения и нажмите «Установить».

Примечание: согласитесь на установку из этого источника, если вас попросят.",Нажмите «Установить» еще раз.,,,,,
1352,Обмен валют,Курс валют,МБ,Android,2.70 и выше,Как посмотреть курсы валют,,,,"Чтобы посмотреть курс валют, прокрутите в нижнюю часть экрана «Мои деньги» 
",В этой части экрана под кнопкой «Посмотреть все продукты» находится блок курсов валют,,,,,,,,,,
1353,Обмен валют,Курс валют,МБ,Android,до 2.69,Как посмотреть курсы валют,,,,"Чтобы посмотреть курс валют, прокрутите верхнюю часть экрана «Мои деньги» до конца справа налево",В этой части экрана отразится курс валют,,,,,,,,,,
1354,Страхование,Оформление страховки,МБ,Android,,Как оформить cтраховой полис «ОСАГО»,,,,На экране «Мои деньги» внизу нажмите «Посмотреть все продукты».,На витрине найдите карточку страхования и перейдите на нее.,Нажмите «Программа „ОСАГО онлайн“».,Прочитайте преимущества и нажмите «Рассчитать».,Введите государственный номер автомобиля и примите условия передачи информации.,Нажмите «Рассчитать».,"После этого откроется браузер, и клиент сможет продолжить заполнение данных автомобиля и страхователя для оформления полиса.",,,,,
1355,Страхование,Оформление страховки,МБ,iOS,3.45 и выше,Как оформить cтраховой полис «ОСАГО»,,,,На экране «Мои деньги» внизу нажмите «Посмотреть все продукты».,На витрине найдите карточку страхования и перейдите на нее.,Нажмите «Программа „ОСАГО онлайн“».,Прочитайте преимущества и нажмите «Рассчитать».,Введите государственный номер автомобиля и примите условия передачи информации.,Нажмите «Рассчитать».,"После этого откроется браузер, и клиент сможет продолжить заполнение данных автомобиля и страхователя для оформления полиса.",,,,,
1356,Обмен валют,Курс валют,МБ,iOS,3.45 и выше,Как посмотреть курсы валют,,,,"Чтобы посмотреть курс валют, прокрутите в нижнюю часть экрана «Мои деньги»",В этой части экрана под кнопкой «Посмотреть все продукты» находится блок курсов валют,,,,,,,,,,
1357,Обмен валют,Курс валют,МБ,iOS,3.45 и выше,Как обменять валюту,,https://www.open.ru/services/payments#2212 https://www.open.ru/mobile_open_ru#2249,"https://mobile.open.ru/#2249
https://www.open.ru/services/payments#2212","Пролистайте вниз экрана «Мои деньги» до курса валют и нажмите «Обменять валюту».

Примечание: Также вы можете перейти на экран обмена валюты с экрана «Платежи». Для этого пролистайте список в разделе «Переводы» и нажмите «Обмен валюты».",Выберите валюту покупки и продажи.,"Введите сумму в поле «Купить» или «Продать» — сумма во втором поле будет 
автоматически пересчитана в выбранной валюте.

Примечание: При нажатии на голубую иконку отобразится подробная информация о курсе: стандартный и льготные курсы обмена.

Минимальная сумма операции по стандартному курсу — 5 долларов США или евро.
Минимальная сумма операции по льготному курсу — 1 000 долларов США или евро.","Выберите карты или счета для полей «Источник» и «Получатель». Если для выбранной валюты обмена нет счета, будет предложено открыть счет.",Нажмите «Обменять».,Проверьте детали и еще раз нажмите «Обменять».,,,,,,
1358,Карты,Дебетовая Opencard Mir Supreme,МБ,Android,,Как оформить дебетовую карту Opencard Mir Supreme с доставкой,,,https://www.open.ru/faq#1568,На экране «Мои деньги» внизу нажмите «Посмотреть все продукты».,На витрине нажмите на карточку «Дебетовые карты».,В слайдере долистайте до «Opencard Mir Supreme» и ознакомьтесь с преимуществами карты.,Нажмите «Оформить сейчас».,Проверьте данные и нажмите «Детали доставки».,"Выберите город, введите адрес получения и нажмите «Оформить карту».
  
 Если в вашем городе не доступна доставка сотрудником банка, закажите доставку в офис банка.",За день до доставки вам придет SMS-сообщение с напоминанием. В день доставки позвонит представитель банка. Вы в любой момент сможете перенести дату доставки по ссылке из SMS-сообщения.,,,,,
1359,Карты,Виртуальная Opencard Mir Supreme,МБ,Android,,Как оформить виртуальную карту Opencard Mir Supreme,,,https://www.open.ru/faq#1566,На экране «Мои деньги» внизу нажмите «Посмотреть все продукты».,На витрине нажмите на карточку «Дебетовые карты».,В слайдере долистайте до «Opencard Mir Supreme виртуальная» и ознакомьтесь с преимуществами карты.,Нажмите «Оформить сейчас».,"Заявка на оформление карты отправлена. Выпуск карты занимает 1—2 минуты. Когда карта будет выпущена, вы получите SMS-сообщение, а карта отобразится на экране «Мои деньги».",,,,,,,
1360,Карты,Дебетовая Opencard Mir Supreme,ИБ,,,Как оформить дебетовую карту Opencard Mir Supreme с доставкой,,,https://www.open.ru/faq#1568,На экране «Мои продукты» в разделе «Карты» нажмите «Оформить карту».,В слайдере долистайте до «Opencard Mir Supreme» и ознакомьтесь с преимуществами карты.,Нажмите «Оформить онлайн».,Проверьте данные и нажмите «Детали доставки».,"Выберите город, введите адрес получения и нажмите «Подтвердить».

Если в вашем городе не доступна доставка сотрудником банка, закажите доставку в офис банка.",Введите SMS-код для подтверждения операции.,За день до доставки вам придет SMS-сообщение с напоминанием. В день доставки позвонит представитель банка. Вы в любой момент сможете перенести дату доставки по ссылке из SMS-сообщения.,,,,,
1361,Карты,Виртуальная Opencard Mir Supreme,ИБ,,,Как оформить виртуальную карту Opencard Mir Supreme,,,https://www.open.ru/faq#1566,На экране «Мои продукты» в разделе «Карты» нажмите «Оформить карту».,В слайдере долистайте до «Opencard Mir Supreme виртуальная» и ознакомьтесь с преимуществами карты.,Нажмите «Оформить онлайн».,"Заявка на оформление карты отправлена. Выпуск карты занимает 1—2 минуты. Когда карта будет выпущена, вы получите SMS-сообщение, а карта отобразится на экране «Мои деньги».",,,,,,,,
1362,Страхование,Оформление страховки,ИБ,,,Как оформить cтраховой полис «ОСАГО»,,,,Перейдите на вкладку «Страхование» и найдите карточку «Программа „ОСАГО онлайн“».,Прочитайте преимущества и пролистайте карточку до ввода данных.,Введите государственный номер автомобиля и примите условия передачи информации.,"Нажмите «Рассчитать».

Если номер еще не зарегистрирован в ГАИ, нажмите «Заполню данные автомобиля самостоятельно».","После этого откроется соседняя вкладка в браузере, и клиент сможет продолжить заполнение данных автомобиля и страхователя для оформления полиса.",,,,,,,
1363,Вклады,Открытие вклада,МБ,iOS ,3.46 и выше,Как открыть вклад,,https://www.open.ru/deposits/faq#1165 https://www.open.ru/mobile_open_ru#2265 ,"https://www.open.ru/important#1088
 https://mobile.open.ru/#1115",На экране «Мои деньги» внизу нажмите «Посмотреть все продукты».,"Выберите возможность снятия и/или пополнения вклада, валюту и сумму.",Нажмите на карточку «Вклады».,Введите сумму и выберите валюту вклада.,Укажите срок вклада и выберите возможность снятия и/или пополнения.,"Выберите способ начисления процентов: «В конце срока вклада», «В начале срока вклада» или «Ежемесячная выплата процентов».","Высветятся доступные вклады, выберите подходящий.",Выберите карту или счет для списания первоначального взноса и нажмите «Далее».,Проверьте информацию и нажмите «Подтвердить».,,,
1364,Карты,Дебетовая Opencard Mir Supreme,МБ,iOS ,,Как оформить дебетовую карту Opencard Mir Supreme с доставкой,,,https://www.open.ru/faq#1568,На экране «Мои деньги» внизу нажмите «Посмотреть все продукты».,На витрине нажмите на карточку «Дебетовые карты».,В слайдере долистайте до «Opencard Mir Supreme» и ознакомьтесь с преимуществами карты.,Нажмите «Оформить онлайн».,Проверьте данные и нажмите «Детали доставки».,"Выберите город, введите адрес получения и нажмите «Оформить карту».
  
 Если в вашем городе не доступна доставка сотрудником банка, закажите доставку в офис банка.",За день до доставки вам придет SMS-сообщение с напоминанием. В день доставки позвонит представитель банка. Вы в любой момент сможете перенести дату доставки по ссылке из SMS-сообщения.,,,,,
1365,Карты,Виртуальная Opencard Mir Supreme,МБ,iOS ,,Как оформить виртуальную карту Opencard Mir Supreme,,,https://www.open.ru/faq#1566,На экране «Мои деньги» внизу нажмите «Посмотреть все продукты».,На витрине нажмите на карточку «Дебетовые карты».,В слайдере долистайте до «Opencard Mir Supreme виртуальная» и ознакомьтесь с преимуществами карты.,Нажмите «Оформить онлайн».,"Заявка на оформление карты отправлена. Выпуск карты занимает 1—2 минуты. Когда карта будет выпущена, вы получите SMS-сообщение, а карта отобразится на экране «Мои деньги».",,,,,,,
1366,Шаблоны,Изменение шаблона,МБ,Android,2.73 и выше,Как изменить шаблон или регулярный платеж,,https://www.open.ru/services/payments#615,,Перейдите на экран «Платежи».,В слайдере пролистайте раздел «Шаблоны» до кнопки «Все шаблоны» и нажмите ее.,Нажмите «Изменить» в верхнем правом углу экрана.,Нажмите на нужный шаблон.,Измените данные и нажмите «Сохранить».,Нажмите «Да».,,,,,,
1367,Шаблоны,Удаление шаблона,МБ,Android,2.73 и выше,Как удалить шаблон свайпом,,,,Перейдите на экран «Платежи».,В слайдере пролистайте раздел «Шаблоны» до кнопки «Все шаблоны» и нажмите ее.,"Выберите шаблон, который хотите удалить, и потяните его справа налево.",Нажмите «Удалить».,Еще раз нажмите «Удалить».,,,,,,,
1368,Шаблоны,Сортировка шаблонов,МБ,Android,2.73 и выше,Как отсортировать шаблоны,,,,Перейдите на экран «Платежи».,В слайдере пролистайте раздел «Шаблоны» до кнопки «Все шаблоны» и нажмите ее.,"Нажмите на иконку в правом верхнем углу, затем ― «Последовательность».","Поменяйте порядок шаблонов: нажмите на шаблон, который хотите переместить и, удерживая его, переместите в нужное место.","Нажмите на галочку в верхнем правом углу, чтобы сохранить новый порядок шаблонов в списке.",,,,,,,
1369,Автоплатежи,Создание автоплатежа без совершения операции,МБ,Android,2.73 и выше,"Как настроить автоплатеж, не совершая операцию",,https://www.open.ru/services/payments#2439 https://www.open.ru/deposits/savings_account/faq#1216,https://www.open.ru/services/payments#2439,Перейдите на экран «Платежи».,В слайдере найдите раздел «Автоплатежи».,Пролистайте до «+» и нажмите него.,Выберите тип перевода или платежа,Введите название платежа и сумму,Выберите частоту и срок действия платежа и нажмите «Подключить»,Подтвердите создание автоплатежа SMS-кодом.,,,,,
1370,Автоплатежи,Удаление автоплатежа,МБ,iOS,4.06 и выше,Как удалить автоплатеж,,,,Перейдите на экран «Платежи и переводы».,"В слайдере найдите раздел «Автоплатежи», а затем автоплатеж, который хотите удалить и нажмите на него. Или пролистайте до кнопки «Все автоплатежи» и нажмите на нее.","Найдите автоплатеж, который хотите удалить. Для быстрого удаления проведите по нему справа налево и подтвердите удаление. 
 
Если перед удалением хотите ознакомиться с деталями платежа, нажмите на автоплатеж.",Нажмите на иконку корзины в верхнем правом углу.,"Подтвердите, что хотите удалить автоплатеж — нажмите «Удалить».",,,,,,,
1371,Автоплатежи,Сортировка автоплатежей,МБ,iOS,4.06 и выше,Как отсортировать автоплатежи,,,,Перейдите на экран «Платежи и переводы»,В слайдере найдите раздел «Автоплатежи».,Пролистайте список автоплатежей до кнопки «Все автоплатежи» и нажмите на нее.,Откроется список всех автоплатежей. Нажмите на иконку в правом верхнем углу.,Нажмите «Последовательность»,"Поменяйте порядок автоплатежей: нажмите на автоплатеж, который хотите переместить и, удерживая его, переместите в нужное место.","Нажмите на галочку в верхнем правом углу, чтобы сохранить новый порядок автоплатежей в списке.",,,,,
1372,Счета на оплату,Оплата по подписке,МБ,iOS,4.06 и выше,Как оплатить штраф или налог,,,,"Если вы оформили подписку на штрафы и налоги, счета на оплату будут отображены в слайдере на экране «Платежи». Нажмите на «Счета на оплату».","Если у вас несколько счетов на оплату, откроется окно со списком всех счетов. Выберите счет и нажмите «Оплатить».","Если штраф был оплачен ранее, нажмите «Отметить как оплаченный» под кнопкой «Оплатить».",Выберите источник и нажмите «Оплатить».,Подтвердите действие и нажмите «Продолжить».,Счет оплачен.,,,,,,
1374,Шаблоны,Просмотр шаблонов,МБ,iOS,4.06 и выше,Как посмотреть список моих шаблонов,,https://www.open.ru/services/payments#614,,На экране «Платежи» пролистайте поле «Шаблоны» до кнопки «Все шаблоны».,Нажмите «Все шаблоны».,На экране отобразится список всех шаблонов.,,,,,,,,,
1373,Шаблоны,Удаление шаблона,МБ,iOS,4.06 и выше,Как удалить шаблон,,https://www.open.ru/services/payments#616,,В слайдере на экране «Платежи» пролистайте поле «Шаблоны» до кнопки «Все шаблоны» и нажмите ее,Нажмите «Изменить».,Нажмите на нужный шаблон.,Нажмите на иконку корзины в верхнем правом углу.,Нажмите «Удалить».,,,,,,,
1374,Шаблоны,Удаление шаблона,МБ,iOS,4.06 и выше,Как изменить шаблон или регулярный платеж свайпом,,https://www.open.ru/services/payments#615,,На экране «Платежи» пролистайте раздел «Шаблоны» до кнопки «Все шаблоны» и нажмите на нее.,"Выберите шаблон, который хотите изменить, и потяните его справа налево.",Нажмите «Изменить».,Внесите изменения и нажмите «Сохранить».,,,,,,,,
1375,Шаблоны,Сортировка шаблонов,МБ,iOS,4.06 и выше,Как отсортировать шаблоны,,,,Перейдите на экран «Платежи и переводы»,В слайдере найдите раздел «Шаблоны».,Пролистайте список шаблонов до кнопки «Все шаблоны» и нажмите на нее.,Откроется список всех шаблонов. Нажмите на иконку в правом верхнем углу.,Нажмите «Последовательность»,"Поменяйте порядок шаблонов: нажмите на шаблон, который хотите переместить и, удерживая его, переместите в нужное место.","Нажмите на галочку в верхнем правом углу, чтобы сохранить новый порядок шаблонов в списке.",,,,,
